source_id,closest_work,doi_or_patent,public_date,catalytic_site,target_reaction,interface_method,coverage,mass_transport,dynamic_operation,experimental_validation,actual_difference,strongest_counterexample,access_limit
L01,Phosphorus-Doped Single Atom Copper Catalyst as a Redox Mediator in the Cathodic Reduction of Quinazolinones,10.1002/anie.202505085,2025-03-19 accepted manuscript; 2025-03-27 version of record; 2025-05-26 issue,CuN3P1@NC,quinazolinone reductive coupling/ring opening,adsorption theory; exact electronic method unknown,adsorption/desorption studied; quantitative coverage unknown,unknown from accessible abstract,unknown,published experiment; no raw data acquired,Need matched CuN4/CuN3P1 potential-concentration-transport boundary; not yet demonstrated,Adsorption regulation is already central to anchor,"Full text redirected to abstract. Exact molecular structures, stoichiometry, coordinates and potential reference are unknown in this audit."
L03,BEAST DB: Grand-Canonical Database of Electrocatalyst Properties,10.1021/acs.jpcc.4c06826; arXiv:2405.20239,2024-05-30 preprint; 2024-11-18 journal online,metals; M-N-C; other classes,NRR example; database HER/OER/CO2RR,self-consistent GC-DFT and canonical comparison,surface speciation not a complete transport network,not demonstrated for anchor,not main scope,comparison with literature; no anchor experiment,Prospective kinetic boundary for one actual organic reaction beyond thermodynamic descriptors,Potential-dependent ranking is already explicit in Table 1,"This is a thermodynamic-descriptor example, not a kinetic or transport validation for Cu-mediated quinazolinone chemistry. SHE values must not be reused as nonaqueous operating potentials."
L04,Multiscale Modeling of Mass Transport Effects on Oxygen Evolution Reaction Kinetics,10.1021/acs.jctc.5c00914,2025-08-11,IrO2 and RuO2,OER,constant-potential DFT plus MKM plus PNP,surface adsorbates included,coupled continuum ions and potential,steady-state kinetic assessment,reported Tafel comparison,Nonaqueous organic co-reactants; poisoning and matched SAC ranking; still requires data,The proposed cross-scale method combination already exists,No complete computational reproduction performed. Aqueous OER is chemically different; its pH assumptions and parameters cannot be copied into DMF organic electrosynthesis.
L05,Scaling Organic Electrosynthesis: The Crucial Interplay between Mechanism and Mass Transport,10.1021/acscentsci.4c01733,2025 (exact online day unverified),reaction-dependent electrodes,three organic electrosyntheses,experimental mechanism and reactor analysis,not a SAC coverage map,capillary-gap versus rotating-cylinder transport,"flow operation, not feedback control",real organic synthesis and reactor experiments,Matched SAC microcoordination ranking and uncertainty-aware boundary,Mass transport improving/changing organic outcomes is established,"This is experimental transport precedent, not CuN3P1-specific data. No numerical transport coefficient is imported here."
L06,Interfacing single-atom catalysis with continuous-flow organic electrosynthesis,10.1039/D2CS00100D,"2022 (volume 51, pages 3898-3925)",SAC and immobilized catalysts,organic electrosynthesis classes,review of theory and experiment,discussed conceptually,continuous-flow integration discussed,prospective scope,"review, not one new experimental result",Reaction-specific prediction may add evidence; combination alone insufficient,SAC plus flow plus computation is prior conceptual art,"A review is conceptual prior art, not proof that every proposed integration was experimentally realized."
L07,Single-Atom Iron Catalyst as an Advanced Redox Mediator for Anodic Oxidation of Organic Electrosynthesis,10.1002/anie.202404295,2024 (exact online day unverified),Fe-SA@NC,organic anodic oxidation and amide ring opening,exact computational method unverified,unknown,flow synthesis reported,unknown,gram-scale and flow experimental examples,Cathodic Cu reaction and quantified ranking boundary,SAC organic flow synthesis is not new by itself,Anodic Fe chemistry cannot establish cathodic Cu mechanism; no direct kinetic parameter transfer.
L08,Multiscale insights of interfacial transport and kinetics in acidic CO2 electroreduction,10.1016/j.scib.2025.12.048,2025-12-29 online; 2026-02-15 issue,Ag in acidic CO2RR,CO2 to CO competing with HER,ab initio kinetics and interfacial transport,adsorbates and interfacial ions,steric and double-layer effects,steady operating-window analysis,published comparison in distinct system,Correct nonaqueous reference and organic competition needed,Local-field transport coupling already changes operating windows,Aqueous acidic CO2RR on Ag does not calibrate DMF or the anchor organic reaction; only a method-neighbor.
L09,Predicting the Stability of Single-Atom Catalysts in Electrochemical Reactions,10.1021/acscatal.3c04801,2023-12-09 online; 2024 volume 14,Cr/Mn/Fe/Co on carbon supports,electrochemical site stability,DFT thermodynamic cycles and Pourbaix analysis,environmental species considered,not a reactor transport study,no lifetime kinetics verified,computational work,Cu/P-specific degradation kinetics rather than generic formation energies,Support binding alone is not electrochemical lifetime,Thermodynamic stability is not kinetic lifetime. Aqueous Pourbaix treatment cannot be copied unchanged to nonaqueous conditions.
L10,Technoeconomic analysis of fine chemical electrosynthesis: a case study using electrooxidation of 2-methylnaphthelene to vitamin K3,10.1039/D4RE00346B,"2025 volume 10, pages 79-89 (online date unverified)",fine-chemical electrodes,vitamin K3 electrooxidation,TEA process boundary,not applicable,process evaluation,replacement and lifespan scenarios,"case-study process assumptions, not anchor measurements",Anchor-product mass/energy/separation data required,Cost and lifetime integration already established,"Different chemistry and product. No K3 costs, prices, lifetime or commercial advantage is transferred to the anchor product."
P01,Production of chemical products using electrochemical flow systems and mediators and associated methods,US20200056291A1,2020-02-20 publication,redox mediators and electrodes,chemical production including peroxide,flow apparatus and mediator process,not atomistic coverage,controlled streams/residence time,process circulation,patent examples; no independent validation here,Specific catalyst chemistry and inference workflow differ,Flow plus mediator is publicly disclosed,"No claim chart, patent-family completeness, legal status assessment or freedom-to-operate opinion; not evidence of the same Cu reaction."
